Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %
12,Activity,4.5,46.0,158,113,55,1,2,0,0
44,Weightlifting,13.5,415.0,166,139,48,28,23,1,0
14,Weightlifting,5.0,79.0,146,121,86,2,0,0,0
24,Activity,6.6,171.0,156,128,63,27,4,0,0
14,Weightlifting,4.4,36.0,142,107,27,1,0,0,0
25,Weightlifting,7.5,105.0,138,116,61,0,0,0,0
32,Walking,6.8,218.0,141,128,97,0,0,0,0
17,Weightlifting,7.0,136.0,162,132,61,12,21,0,0
31,Weightlifting,10.0,222.0,157,129,85,15,0,0,0
55,Walking,7.1,270.0,132,120,92,0,0,0,0
55,Walking,14.7,667.0,184,153,12,17,43,27,1
28,Walking,7.7,229.0,149,136,37,59,0,0,0
14,Weightlifting,4.5,39.0,131,110,29,0,0,0,0
32,Activity,6.6,207.0,144,127,100,0,0,0,0
22,Activity,5.9,148.0,144,127,99,1,0,0,0
22,Weightlifting,6.6,81.0,136,115,67,0,0,0,0
16,Activity,4.1,23.0,120,102,2,0,0,0,0
26,Walking,5.0,88.0,127,114,43,0,0,0,0
33,Weightlifting,8.7,89.0,147,106,18,7,0,0,0
12,Weightlifting,4.2,23.0,122,105,5,0,0,0,0
24,Activity,7.3,201.0,155,135,57,39,3,0,0
22,Weightlifting,6.7,89.0,134,115,68,0,0,0,0
16,Weightlifting,5.7,108.0,145,127,98,2,0,0,0
46,Weightlifting,11.7,266.0,152,124,80,2,0,0,0
73,Weightlifting,12.9,347.0,148,121,74,1,0,0,0
28,Weightlifting,7.9,111.0,146,117,57,0,0,0,0
12,Weightlifting,4.4,37.0,130,114,35,0,0,0,0
73,Weightlifting,14.4,569.0,161,136,37,50,9,0,0
31,Weightlifting,10.9,238.0,160,133,43,24,23,0,0
16,Weightlifting,5.0,76.0,139,122,92,0,0,0,0
38,Activity,8.8,291.0,175,134,53,19,16,2,0
20,Activity,5.8,120.0,165,127,54,19,9,0,0
20,Powerlifting,6.2,81.0,138,118,65,0,0,0,0
14,Stairmaster,6.4,138.0,155,141,36,62,2,0,0
64,Weightlifting,13.7,409.0,165,129,67,13,10,0,0
34,Activity,7.5,208.0,168,127,42,16,14,1,0
22,Activity,8.2,218.0,167,143,21,47,31,1,0
67,Powerlifting,12.9,353.0,152,123,86,3,0,0,0
52,Weightlifting,12.2,268.0,152,122,72,5,0,0,0
16,Activity,4.5,43.0,128,111,21,0,0,0,0
57,Weightlifting,12.3,251.0,146,118,69,0,0,0,0
50,Weightlifting,11.9,252.0,149,121,73,2,0,0,0
40,Weightlifting,10.9,230.0,157,125,83,6,0,0,0
35,Weightlifting,13.1,369.0,167,146,13,47,33,3,0
40,Powerlifting,12.0,317.0,163,136,70,26,4,0,0
37,Cycling,5.8,150.0,163,118,48,10,2,0,0
105,Weightlifting,13.6,462.0,160,120,26,18,2,0,0
22,Weightlifting,7.4,135.0,156,129,73,15,0,0,0
20,Weightlifting,6.7,118.0,153,127,92,8,0,0,0
14,Activity,4.9,70.0,157,119,48,18,1,0,0
47,Weightlifting,10.5,114.0,144,108,36,0,0,0,0
67,Weightlifting,13.5,383.0,158,125,32,30,1,0,0
